GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BE,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,6.000,10.000,14.000,26.000,31.000,67.000,96.000,167.000,212.000,276.000,324.000,608.000,912.000,"1,069.000","1,370.000","1,780.000","1,944.000","2,176.000","2,370.000","2,805.600"
BG,,,,,,,,,,,,,,,1.000,8.000,27.000,30.000,114.000,333.000,488.000,541.000,677.000,683.000,699.000,699.000,699.000,698.390
CZ,,,,,,,,,1.000,1.000,1.000,1.000,6.000,11.000,17.000,22.000,44.000,114.000,150.000,193.000,213.000,213.000,258.000,262.000,278.000,281.000,282.000,308.205
DK,325.981,392.859,435.949,468.099,521.237,599.499,814.221,"1,123.347","1,438.482","1,753.445","2,390.015","2,497.153","2,894.531","3,119.916","3,123.712","3,127.836","3,135.696","3,124.214","3,162.870","3,482.087","3,801.829","3,951.981","4,161.930","4,819.112","4,886.592","5,077.155","5,245.602","5,522.294"
DE,48.000,110.000,183.000,334.000,643.000,"1,137.000","1,564.000","1,966.000","2,672.000","4,138.000","6,095.000","8,754.000","12,001.000","14,381.000","16,419.000","18,248.000","20,474.000","22,116.000","22,794.000","25,732.000","26,903.000","28,712.000","30,979.000","33,477.000","38,614.000","44,580.000","49,592.000","55,718.000"
EE,,,,,,,,,,,,,1.000,3.000,7.000,31.000,31.000,50.000,77.000,104.000,108.000,180.000,266.000,248.000,275.000,300.000,310.000,311.800
IE,,,6.500,6.500,6.500,6.500,6.500,57.200,62.200,70.200,116.500,122.900,134.800,210.300,336.400,493.300,676.500,740.500,942.300,"1,251.300","1,390.400","1,584.600","1,704.350","2,008.150","2,283.250","2,451.150","2,785.950","3,317.950"
EL,1.000,1.000,16.000,27.000,27.000,27.000,27.000,27.000,38.000,109.000,226.000,270.000,287.000,371.000,470.000,491.000,749.000,846.000,"1,022.000","1,171.000","1,298.000","1,640.000","1,753.000","1,809.000","1,978.000","2,091.000","2,370.000","2,624.000"
ES,2.000,3.000,33.000,34.000,41.000,98.000,227.000,420.000,848.000,"1,613.000","2,206.000","3,397.000","4,891.000","5,945.000","8,317.000","9,918.000","11,722.000","14,820.000","16,555.000","19,176.000","20,693.000","21,529.000","22,789.000","22,958.000","22,925.000","22,943.000","22,990.000","23,100.000"
FR,,1.000,1.000,3.000,3.000,3.000,6.000,7.000,15.000,18.000,38.000,66.000,138.000,218.000,358.000,690.000,"1,412.000","2,223.000","3,403.000","4,582.000","5,912.000","6,723.265","7,562.196","8,249.996","9,110.089","10,258.241","11,510.915","13,512.272"
HR,,,,,,,,,,,,,,,,6.000,17.000,17.000,17.000,70.000,79.000,130.000,180.000,254.000,339.000,418.000,483.000,576.100
IT,3.000,4.000,7.000,18.000,21.000,22.000,34.000,119.000,164.000,232.000,363.000,664.000,780.000,874.000,"1,127.000","1,635.000","1,902.000","2,702.000","3,525.000","4,879.000","5,794.000","6,918.000","8,102.000","8,542.000","8,683.000","9,137.000","9,384.000","9,736.578"
CY,,,,,,,,,,,,,,,0.225,0.225,0.225,0.225,0.225,0.225,82.225,134.225,147.225,147.225,147.225,157.725,157.725,157.725
LV,,,,,,1.000,1.000,1.000,1.000,1.000,2.000,2.000,22.000,26.000,26.000,26.000,26.000,26.000,28.000,29.000,30.000,36.000,59.000,65.892,68.915,68.165,69.905,77.105
LT,,,,,,,,,,,,,,,1.000,1.000,31.000,47.000,54.000,98.000,133.000,202.000,275.000,279.000,288.000,436.000,509.000,518.000
LU,,,,,,,2.000,4.000,10.000,14.000,14.000,13.900,13.900,20.500,34.900,34.900,34.900,34.900,42.915,42.930,43.727,44.527,58.327,58.327,58.342,63.794,119.694,119.694
HU,,,,,,,,,,,,1.000,1.000,3.000,3.000,17.000,33.000,61.000,134.000,203.000,293.000,331.000,325.000,329.000,329.000,329.000,329.000,329.000
MT,,,,,,,,,,,,,,,,,,,,,,,0.100,0.100,0.100,0.100,0.100,0.100
NL,50.000,83.000,101.000,131.000,152.000,250.000,296.000,325.000,364.000,411.000,447.000,486.000,672.000,905.000,"1,075.000","1,224.000","1,561.000","1,749.000","2,149.000","2,222.000","2,237.000","2,316.000","2,433.000","2,713.000","2,865.000","3,391.000","4,257.000","4,202.000"
AT,,,,1.000,1.000,1.000,3.000,15.000,34.000,38.000,50.000,67.000,109.000,322.000,581.000,825.219,968.269,991.159,991.974,"1,000.985","1,015.828","1,105.966","1,337.150","1,674.538","2,110.275","2,488.726","2,729.996","2,886.698"
PL,,,,,,,,,2.000,3.000,4.000,19.000,32.000,35.000,40.000,121.000,172.000,306.000,526.000,709.000,"1,108.000","1,800.000","2,564.000","3,429.000","3,836.000","4,886.000","5,747.000","5,759.357"
PT,1.000,1.000,3.000,8.000,8.000,8.000,18.000,29.000,48.000,57.000,83.000,125.000,190.000,268.000,553.000,"1,064.000","1,681.000","2,201.000","2,857.000","3,326.000","3,796.000","4,256.215","4,411.552","4,609.949","4,856.556","4,936.838","5,124.103","5,124.105"
RO,,,,1.000,,,,,,,,,,,,1.000,1.000,3.000,5.000,15.000,389.000,988.000,"1,822.000","2,773.000","3,244.000","3,130.000","3,025.000","3,029.798"
SI,,,,,,,,,,,,,,,,,,,,,,,,4.000,4.000,5.000,5.000,4.973
SK,,,,,,,,,,,,,,3.000,3.000,5.000,5.000,5.000,5.000,3.000,3.000,3.000,3.000,5.000,3.000,3.000,3.000,4.000
